Conductor Name / Stranding Type,1s Fault Rating (kA),Rdc,Alpha[20],A[c],C[20],Diameter,Area,Mass,Skin,Magnetic,T[max],Eqv Al,Density,Limited,User Specified SD
6/1/2.50 AACSR/GZ,2.89,1.13,0.00371,0.00034,0.75663,7.5,34.4,119,1.015,1.07,160,25,0.003459302,151,127
6/1/3.00 AACSR/GZ,4.15,0.79,0.00371,0.00034,0.75646,9,49.5,171,1.015,1.1,160,36,0.003454545,190,159
6/1/3.75 AACSR/GZ,6.52,0.5,0.00371,0.00034,0.75649,11.3,77.3,268,1.015,1.1,160,56,0.003467012,255,212
6/4.75+7/1.60 AACSR/GZ,10.29,0.31,0.00369,0.00035,0.7771,14.3,120.4,402,1.015,1.13,160,90,0.00333887,349,289
30/7/2.50 AACSR/GZ,14.91,0.23,0.00375,0.00031,0.72313,17.5,181.6,676,1.015,1,160,124,0.003722467,471,388
30/7/3.00 AACSR/GZ,21.45,0.16,0.00375,0.00031,0.72306,21,261.5,973,1.015,1,160,179,0.003720841,609,499
30/7/3.50 AACSR/GZ,28.85,0.12,0.00375,0.00031,0.72311,24.5,356,1320,1.015,1,160,244,0.003707865,756,617
54/3.75+19/2.25 AACSR/GZ,55.37,0.06,0.00369,0.00036,0.78123,33.8,672,2240,1.015,1.07,160,503,0.003333333,1202,972
54/4.75+19/2.85 AACSR/GZ,85.97,0.04,0.00369,0.00036,0.78123,42.8,1078,3600,1.015,1.07,160,807,0.003339518,1675,1344
54/7/3.00 AACSR/GZ,36.21,0.09,0.00369,0.00036,0.77953,27,431.2,1440,1.015,1.06,160,322,0.003339518,880,715
54/7/3.25 AACSR/GZ,41.61,0.08,0.00369,0.00036,0.77953,29.3,506,1690,1.015,1.06,160,378,0.003339921,985,799
